Command line
python ../../src/cgr.py -c --true --scaffold
Args
{'activation': 'ReLU',
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_feature_scaling': True,
 'bond_features_path': None,
 'bond_features_size': 0,
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': '../../../data/cyclo/cyclo.csv',
 'data_weights_path': None,
 'dataset_type': 'regression',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.05,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 300,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': [],
 'features_generator': None,
 'features_only': False,
 'features_path': None,
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'init_lr': 0.0001,
 'log_frequency': 10,
 'loss_function': 'mse',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'mae',
 'metrics': ['mae'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 3,
 'no_atom_descriptor_scaling': False,
 'no_bond_features_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'num_folds': 10,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quiet': False,
 'reaction': True,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': './',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_features_path': None,
 'separate_test_features_path': None,
 'separate_test_path': None,
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_features_path': None,
 'separate_val_features_path': None,
 'separate_val_path': None,
 'separate_val_phase_features_path': None,
 'show_individual_scores': False,
 'smiles_columns': ['rxn_smiles_mapped'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [0.9, 0.05, 0.05],
 'split_type': 'scaffold_balanced',
 'target_columns': ['G_act'],
 'target_weights': None,
 'task_names': ['G_act'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': False,
 'val_fold_index': None,
 'warmup_epochs': 2.0}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total scaffolds = 939 | train scaffolds = 824 | val scaffolds = 59 | test scaffolds = 56
Label averages per scaffold, in decreasing order of scaffold frequency,capped at 10 scaffolds and 20 labels:
Scaffold 0
Task 0: count = 1,048 | target average = 21.410328


Scaffold 1
Task 0: count = 202 | target average = 21.972134


Scaffold 2
Task 0: count = 104 | target average = 19.609639


Scaffold 3
Task 0: count = 84 | target average = 21.255030


Scaffold 4
Task 0: count = 79 | target average = 22.576012


Scaffold 5
Task 0: count = 76 | target average = 19.066546


Scaffold 6
Task 0: count = 74 | target average = 20.416149


Scaffold 7
Task 0: count = 65 | target average = 18.326297


Scaffold 8
Task 0: count = 64 | target average = 16.218916


Scaffold 9
Task 0: count = 62 | target average = 12.533685


Total size = 5,265 | train size = 4,738 | val size = 263 | test size = 264
Fitting scaler
Building model 0
MoleculeModel(
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout_layer): Dropout(p=0.05, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=193, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=465, out_features=300, bias=True)
      )
    )
  )
  (ffn): Sequential(
    (0): Dropout(p=0.05, inplace=False)
    (1): Linear(in_features=300, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.05, inplace=False)
    (4): Linear(in_features=300, out_features=1, bias=True)
  )
)
Number of parameters = 378,601
Moving model to cuda
Epoch 0
Loss = 1.1155e+00, PNorm = 34.6630, GNorm = 2.2161, lr_0 = 1.5266e-04
Loss = 1.0890e+00, PNorm = 34.6635, GNorm = 1.5457, lr_0 = 2.0053e-04
Loss = 1.0164e+00, PNorm = 34.6661, GNorm = 4.0972, lr_0 = 2.4840e-04
Loss = 9.1219e-01, PNorm = 34.6707, GNorm = 3.6539, lr_0 = 2.9628e-04
Loss = 7.8052e-01, PNorm = 34.6771, GNorm = 1.1666, lr_0 = 3.4415e-04
Loss = 9.0994e-01, PNorm = 34.6905, GNorm = 1.8301, lr_0 = 3.9202e-04
Loss = 6.0990e-01, PNorm = 34.7074, GNorm = 3.3445, lr_0 = 4.3989e-04
Loss = 5.9467e-01, PNorm = 34.7276, GNorm = 1.7930, lr_0 = 4.8777e-04
Loss = 5.2333e-01, PNorm = 34.7440, GNorm = 7.5370, lr_0 = 5.3564e-04
Validation mae = 6.306285
Epoch 1
Loss = 5.4885e-01, PNorm = 34.7572, GNorm = 14.5430, lr_0 = 5.8830e-04
Loss = 5.6305e-01, PNorm = 34.7756, GNorm = 11.2198, lr_0 = 6.3617e-04
Loss = 5.1667e-01, PNorm = 34.7917, GNorm = 3.2235, lr_0 = 6.8404e-04
Loss = 4.6229e-01, PNorm = 34.8074, GNorm = 3.3792, lr_0 = 7.3191e-04
Loss = 4.8987e-01, PNorm = 34.8253, GNorm = 17.0632, lr_0 = 7.7979e-04
Loss = 4.6417e-01, PNorm = 34.8417, GNorm = 4.2557, lr_0 = 8.2766e-04
Loss = 4.8327e-01, PNorm = 34.8670, GNorm = 10.9953, lr_0 = 8.7553e-04
Loss = 5.0280e-01, PNorm = 34.8839, GNorm = 2.4389, lr_0 = 9.2340e-04
Loss = 4.4520e-01, PNorm = 34.9148, GNorm = 7.2483, lr_0 = 9.7128e-04
Validation mae = 5.990285
Epoch 2
Loss = 5.2378e-01, PNorm = 34.9363, GNorm = 8.7508, lr_0 = 9.9967e-04
Loss = 4.6998e-01, PNorm = 34.9634, GNorm = 1.7273, lr_0 = 9.9885e-04
Loss = 4.8898e-01, PNorm = 34.9880, GNorm = 2.0674, lr_0 = 9.9803e-04
Loss = 4.2029e-01, PNorm = 35.0086, GNorm = 13.1226, lr_0 = 9.9721e-04
Loss = 3.4476e-01, PNorm = 35.0275, GNorm = 6.4864, lr_0 = 9.9639e-04
Loss = 4.6462e-01, PNorm = 35.0479, GNorm = 4.3222, lr_0 = 9.9557e-04
Loss = 3.3044e-01, PNorm = 35.0690, GNorm = 2.3197, lr_0 = 9.9475e-04
Loss = 4.1543e-01, PNorm = 35.0949, GNorm = 0.9777, lr_0 = 9.9394e-04
Loss = 3.2093e-01, PNorm = 35.1165, GNorm = 1.1985, lr_0 = 9.9312e-04
Loss = 3.6581e-01, PNorm = 35.1442, GNorm = 1.2078, lr_0 = 9.9230e-04
Validation mae = 4.783865
Epoch 3
Loss = 3.4539e-01, PNorm = 35.1728, GNorm = 6.7539, lr_0 = 9.9149e-04
Loss = 3.8474e-01, PNorm = 35.1953, GNorm = 8.7952, lr_0 = 9.9067e-04
Loss = 4.3804e-01, PNorm = 35.2299, GNorm = 3.8225, lr_0 = 9.8986e-04
Loss = 3.9383e-01, PNorm = 35.2694, GNorm = 1.7959, lr_0 = 9.8905e-04
Loss = 3.6094e-01, PNorm = 35.2951, GNorm = 0.7775, lr_0 = 9.8823e-04
Loss = 4.0677e-01, PNorm = 35.3238, GNorm = 4.2686, lr_0 = 9.8742e-04
Loss = 3.1654e-01, PNorm = 35.3535, GNorm = 5.9497, lr_0 = 9.8661e-04
Loss = 4.2096e-01, PNorm = 35.3785, GNorm = 2.2221, lr_0 = 9.8580e-04
Loss = 3.9876e-01, PNorm = 35.4101, GNorm = 4.2183, lr_0 = 9.8499e-04
Validation mae = 5.222161
Epoch 4
Loss = 3.2860e-01, PNorm = 35.4368, GNorm = 2.0233, lr_0 = 9.8418e-04
Loss = 3.5128e-01, PNorm = 35.4661, GNorm = 1.8550, lr_0 = 9.8337e-04
Loss = 3.7543e-01, PNorm = 35.4975, GNorm = 4.6497, lr_0 = 9.8256e-04
Loss = 3.8381e-01, PNorm = 35.5267, GNorm = 2.2647, lr_0 = 9.8176e-04
Loss = 3.3577e-01, PNorm = 35.5596, GNorm = 1.8964, lr_0 = 9.8095e-04
Loss = 3.5008e-01, PNorm = 35.5857, GNorm = 4.2340, lr_0 = 9.8014e-04
Loss = 3.2941e-01, PNorm = 35.6137, GNorm = 2.7364, lr_0 = 9.7934e-04
Loss = 3.3741e-01, PNorm = 35.6483, GNorm = 2.0165, lr_0 = 9.7853e-04
Loss = 3.2857e-01, PNorm = 35.6786, GNorm = 0.9208, lr_0 = 9.7773e-04
Loss = 3.4543e-01, PNorm = 35.7116, GNorm = 6.3926, lr_0 = 9.7693e-04
Validation mae = 4.505927
Epoch 5
Loss = 3.4790e-01, PNorm = 35.7461, GNorm = 1.1828, lr_0 = 9.7604e-04
Loss = 3.4297e-01, PNorm = 35.7836, GNorm = 3.4941, lr_0 = 9.7524e-04
Loss = 3.4040e-01, PNorm = 35.8167, GNorm = 3.3156, lr_0 = 9.7444e-04
Loss = 3.0030e-01, PNorm = 35.8489, GNorm = 5.9222, lr_0 = 9.7364e-04
Loss = 3.0588e-01, PNorm = 35.8726, GNorm = 4.4262, lr_0 = 9.7284e-04
Loss = 3.7750e-01, PNorm = 35.9111, GNorm = 3.4903, lr_0 = 9.7204e-04
Loss = 2.9947e-01, PNorm = 35.9428, GNorm = 0.5764, lr_0 = 9.7124e-04
Loss = 2.6778e-01, PNorm = 35.9706, GNorm = 2.0612, lr_0 = 9.7044e-04
Loss = 3.0773e-01, PNorm = 36.0043, GNorm = 1.6272, lr_0 = 9.6965e-04
Validation mae = 5.010436
Epoch 6
Loss = 2.9053e-01, PNorm = 36.0271, GNorm = 1.1989, lr_0 = 9.6885e-04
Loss = 3.2651e-01, PNorm = 36.0659, GNorm = 3.9852, lr_0 = 9.6805e-04
Loss = 3.4625e-01, PNorm = 36.1031, GNorm = 1.2530, lr_0 = 9.6726e-04
Loss = 2.8073e-01, PNorm = 36.1397, GNorm = 3.0427, lr_0 = 9.6646e-04
Loss = 3.6378e-01, PNorm = 36.1690, GNorm = 1.0998, lr_0 = 9.6567e-04
Loss = 2.9737e-01, PNorm = 36.2067, GNorm = 1.6108, lr_0 = 9.6487e-04
Loss = 2.3537e-01, PNorm = 36.2359, GNorm = 1.9860, lr_0 = 9.6408e-04
Loss = 2.9982e-01, PNorm = 36.2677, GNorm = 4.7358, lr_0 = 9.6329e-04
Loss = 2.5728e-01, PNorm = 36.3005, GNorm = 1.4053, lr_0 = 9.6250e-04
Loss = 3.3111e-01, PNorm = 36.3200, GNorm = 3.2928, lr_0 = 9.6171e-04
Validation mae = 4.496992
Epoch 7
Loss = 2.7319e-01, PNorm = 36.3550, GNorm = 2.7866, lr_0 = 9.6092e-04
Loss = 2.4450e-01, PNorm = 36.3888, GNorm = 2.3998, lr_0 = 9.6013e-04
Loss = 2.3482e-01, PNorm = 36.4241, GNorm = 3.1203, lr_0 = 9.5934e-04
Loss = 2.2444e-01, PNorm = 36.4540, GNorm = 1.2214, lr_0 = 9.5855e-04
Loss = 2.6581e-01, PNorm = 36.4789, GNorm = 2.9586, lr_0 = 9.5776e-04
Loss = 2.5756e-01, PNorm = 36.4996, GNorm = 2.5586, lr_0 = 9.5698e-04
Loss = 2.7441e-01, PNorm = 36.5279, GNorm = 2.5967, lr_0 = 9.5619e-04
Loss = 2.8948e-01, PNorm = 36.5561, GNorm = 2.2085, lr_0 = 9.5540e-04
