Int1_Name,TS_Name,Int2_Name,Sub_Name,Int1_DeltaG,TS_DeltaG,Int2_DeltaG,Sub_DeltaG,Int1_kcalmol,TS_kcalmol,Int2_kcalmol,fw_td_kcalmol,fw_b_kcalmol,rv_b_kcalmol,Sub_Smiles,Sub_Smiles_minusH,Int1_SMILES,Int2_SMILES,Int1_to_Int2_SMILES,Substrate_SMILES,Substrate_mH_SMILES,Substrate_to_Substrate_mH_SMILES
Benzene_H10_Int1_Sub65,Benzene_H10_interpolation_Sub65_v2,Benzene_H10_Int2_Sub65,Benzene_H10_Int1_Sub65,-1050.874818,-1050.85652,-1050.875883,-466.328544,-1.4150124999586922,10.066982500015484,-2.0832999999122137,-0.6682874999535215,11.481994999974177,12.150282499927698,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccccc->31C1CCCCC1,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1ccccc1C1CCCCC1,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccccc->31C1CCCCC1>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1ccccc1C1CCCCC1,[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H]>>[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H]
Benzene_H10_Int1_Sub66,Benzene_H10_interpolation_Sub66_v2,Benzene_H10_Int2_Sub66,Benzene_H10_Int1_Sub66,-895.031853,-895.015038,-895.034044,-310.489885,1.2870025000678709,11.838415000037372,-0.0878499999565463,-1.3748525000244172,10.5514124999695,11.92626499999392,,,CCc12->[Pd+2]34(<-O=C->3(C)[O-]->4)(<-[O-]C(C)=O)<-c1cccc2,CCc1cccc[c-]1->[Pd+2]1(<-O=C(C)O)<-O=C(C)[O-]->1,CCc12->[Pd+2]34(<-O=C->3(C)[O-]->4)(<-[O-]C(C)=O)<-c1cccc2>>CCc1cccc[c-]1->[Pd+2]1(<-O=C(C)O)<-O=C(C)[O-]->1,[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]([H])([H])[C]([H])([H])[H],[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]([H])([H])[C]([H])([H])[H],[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]([H])([H])[C]([H])([H])[H]>>[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]([H])([H])[C]([H])([H])[H]
Benzene_H10_Int1_Sub6,Benzene_H10_interpolation_Sub6_v2,Benzene_H10_Int2_Sub6,Benzene_H10_Int1_Sub6,-892.595868,-892.578475,-892.598175,-308.053564,1.0761625000294828,11.990270000010668,-0.3714799999538343,-1.447642499983317,10.914107499981183,12.361749999964502,,,C#Cc1ccc2->[Pd+2]34(<-O=C->3(C)[O-]->4)(<-[O-]C(C)=O)<-c2c1,C#Cc1ccc[c-](->[Pd+2]2(<-O=C(C)O)<-O=C(C)[O-]->2)c1,C#Cc1ccc2->[Pd+2]34(<-O=C->3(C)[O-]->4)(<-[O-]C(C)=O)<-c2c1>>C#Cc1ccc[c-](->[Pd+2]2(<-O=C(C)O)<-O=C(C)[O-]->2)c1,[c]1([H])[c]([H])[c]([C]#[C][H])[c]([H])[c]([H])[c]1[H],[C]1[C]([H])[C]([C][C][H])[C]([H])[C]([H])[C]1[H],[c]1([H])[c]([H])[c]([C]#[C][H])[c]([H])[c]([H])[c]1[H]>>[C]1[C]([H])[C]([C][C][H])[C]([H])[C]([H])[C]1[H]
Benzene_H10_Int1_Sub72,Benzene_H10_interpolation_Sub72_v2,Benzene_H10_Int2_Sub72,Benzene_H10_Int1_Sub72,-855.777621,-855.761598,-855.779979,-271.235982,1.4934500000460105,11.547882499986171,0.0138050000008149,-1.4796450000451955,10.054432499940162,11.534077499985358,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccccc->31C,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1ccccc1C,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccccc->31C>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1ccccc1C,[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]([H])([H])[H],[c]1([H])[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C]([H])([H])[H]>>[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]([H])([H])[H]
Benzene_H10_Int1_Sub8,Benzene_H10_interpolation_Sub8_v2,Benzene_H10_Int2_Sub8,Benzene_H10_Int1_Sub8,-1315.256805,-1315.238641,-1315.25833,-730.7127,-0.0539649999350899,11.343945000108704,-1.0109024998732252,-0.9569374999381351,11.397910000043794,12.354847499981927,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccc(CCl)cc->31,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cccc(CCl)c1,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1ccc(CCl)cc->31>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cccc(CCl)c1,[c]1([H])[c]([H])[c]([C]([Cl])([H])[H])[c]([H])[c]([H])[c]1[H],[C]1[C]([H])[C]([C]([Cl])([H])[H])[C]([H])[C]([H])[C]1[H],[c]1([H])[c]([H])[c]([C]([Cl])([H])[H])[c]([H])[c]([H])[c]1[H]>>[C]1[C]([H])[C]([C]([Cl])([H])[H])[C]([H])[C]([H])[C]1[H]
Benzo13dioxol_H8_deriv1_Int1_Sub10,Benzo13dioxol_H8_deriv1_interpolation_Sub10_v2,Benzo13dioxol_H8_deriv1_Int2_Sub10,Benzo13dioxol_H8_deriv1_Int1_Sub10,-1923.879435,-1923.865905,-1923.884537,-1339.339649,2.6562075000708774,11.146282499894369,-0.5452974999786875,-3.201504999906888,8.490074999966168,11.691579999873056,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(Cl)c2c(c->31)OCO2,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(Cl)c2c1OCO2,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(Cl)c2c(c->31)OCO2>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(Cl)c2c1OCO2,[c]1([H])[c]2[c]([c]([Cl])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2,[C]1[C]2[C]([C]([Cl])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2,[c]1([H])[c]2[c]([c]([Cl])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2>>[C]1[C]2[C]([C]([Cl])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2
Benzo13dioxol_H8_deriv1_Int1_Sub11,Benzo13dioxol_H8_deriv1_interpolation_Sub11_v2,Benzo13dioxol_H8_deriv1_Int2_Sub11,Benzo13dioxol_H8_deriv1_Int1_Sub11,-1698.761235,-1698.746006,-1698.763038,-1114.215367,-1.1602474999955348,8.395950000061134,-2.2916300000639467,-1.131382500068412,9.556197499913992,10.687579999982404,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C2CCCCC2)c2c(c->31)OCO2,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C2CCCCC2)c2c1OCO2,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C2CCCCC2)c2c(c->31)OCO2>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C2CCCCC2)c2c1OCO2,[c]1([H])[c]2[c]([c]([C]3([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]3([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2,[C]1[C]2[C]([C]([C]3([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]3([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2,[c]1([H])[c]2[c]([c]([C]3([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]3([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2>>[C]1[C]2[C]([C]([C]3([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]3([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2
Benzo13dioxol_H8_deriv1_Int1_Sub12,Benzo13dioxol_H8_deriv1_interpolation_Sub12_v2,Benzo13dioxol_H8_deriv1_Int2_Sub12,Benzo13dioxol_H8_deriv1_Int1_Sub12,-1621.417356,-1621.401981,-1621.419368,-1036.874696,0.8527725000584496,10.50058500002649,-0.4097574998928621,-1.2625300000939887,9.64781249996804,10.910342500062027,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C(C)(C)C)c2c(c->31)OCO2,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C(C)(C)C)c2c1OCO2,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C(C)(C)C)c2c(c->31)OCO2>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C(C)(C)C)c2c1OCO2,[c]1([H])[c]2[c]([c]([C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2,[C]1[C]2[C]([C]([C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2,[c]1([H])[c]2[c]([c]([C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2>>[C]1[C]2[C]([C]([C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2
Benzo13dioxol_H8_deriv1_Int1_Sub13,Benzo13dioxol_H8_deriv1_interpolation_Sub13_v2,Benzo13dioxol_H8_deriv1_Int2_Sub13,Benzo13dioxol_H8_deriv1_Int1_Sub13,-1582.1745,-1582.159325,-1582.176455,-997.631646,0.7310375000091085,10.253350000008652,-0.495724999961169,-1.2267624999702775,9.522312499999543,10.74907499996982,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C(C)C)c2c(c->31)OCO2,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C(C)C)c2c1OCO2,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C(C)C)c2c(c->31)OCO2>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C(C)C)c2c1OCO2,[c]1([H])[c]2[c]([c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2,[C]1[C]2[C]([C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2,[c]1([H])[c]2[c]([c]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2>>[C]1[C]2[C]([C]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2
Benzo13dioxol_H8_deriv1_Int1_Sub14,Benzo13dioxol_H8_deriv1_interpolation_Sub14_v2,Benzo13dioxol_H8_deriv1_Int2_Sub14,Benzo13dioxol_H8_deriv1_Int1_Sub14,-1503.667968,-1503.653517,-1503.670407,-919.126065,1.3277900000719,10.39579250007705,-0.2026824999876453,-1.5304725000595454,9.06800250000515,10.598475000064695,,,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C)c2c(c->31)OCO2,CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C)c2c1OCO2,CC(=O)[O-]->[Pd+2]123(<-O=C->1(C)[O-]->2)<-c1c(Cl)c(C)c2c(c->31)OCO2>>CC(O)=O->[Pd+2]1(<-O=C(C)[O-]->1)<-[c-]1cc(Cl)c(C)c2c1OCO2,[c]1([H])[c]2[c]([c]([C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2,[C]1[C]2[C]([C]([C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2,[c]1([H])[c]2[c]([c]([C]([H])([H])[H])[c]([Cl])[c]1[H])[O][C]([H])([H])[O]2>>[C]1[C]2[C]([C]([C]([H])([H])[H])[C]([Cl])[C]1[H])[O][C]([H])([H])[O]2
