Int2_Name,C-Index,H-Index,BDE_kcalmol,Int1_Name,appearance_index,count,substructure,count_substructure,appearance_index_substructure,apperance_index_substructure
3Buten1ol_RH_Sub5_C8_H13,7,12,114.76632824252904,3Buten1ol_RH_Sub5,1,2,"{'first layer': ['Cl', 'C'], 'second layer': []}",14,1,1
Ethene_RH_Sub19_C1_H2,0,1,117.67263904499616,Ethene_RH_Sub19,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa326_plan_opt_C24_H29,23,28,119.55901574000931,aa326_plan_opt,3,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Azulene_RH_Sub1_C7_H13,6,12,123.58506264247296,Azulene_RH_Sub1,3,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa271_plan_opt_C11_H20,10,19,118.58337936749764,aa271_plan_opt,8,8,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
Benzeneethanamine_o_RH_Sub37_C11_H20,10,19,117.90235549997789,Benzeneethanamine_o_RH_Sub37,1,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethaneamine_o_RH_Sub20_C16_H19,15,18,117.74788068749515,Benzeneethaneamine_o_RH_Sub20,4,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
Thiobenzoicacid_RH_Sub17_C7_H10,6,9,120.12690261243762,Thiobenzoicacid_RH_Sub17,3,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
Benzeneethanamine_o_RH_Sub30_C14_H18,13,17,117.1521886624889,Benzeneethanamine_o_RH_Sub30,5,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa285_opt_C13_H21,12,20,117.24949383254112,aa285_opt,8,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
5Hexen1amine_RH_Sub44_C9_H10,8,9,117.6383706424987,5Hexen1amine_RH_Sub44,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa6_opt_C15_H26,14,25,118.08262683755744,aa6_opt,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
4Penten1amine_RH_Sub23_C9_H10,8,9,113.0373304299981,4Penten1amine_RH_Sub23,1,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa248_opt_C11_H26,10,25,117.60609141497412,aa248_opt,2,2,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa339_plan_opt_C17_H22,16,21,116.92666202499936,aa339_plan_opt,4,8,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
2Phenylpyridine_RH_C15_H19,14,18,117.55733905752224,2Phenylpyridine_RH,8,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Styrene_RH_Sub27_C8_H13,7,12,117.9344514974784,Styrene_RH_Sub27,1,7,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
5Hexen1thiol_RH_Sub40_C8_H9,7,8,117.80854111249823,5Hexen1thiol_RH_Sub40,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
3Buten1amine_RH_Sub38_C9_H10,8,9,117.43744263250464,3Buten1amine_RH_Sub38,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
3Buten1amine_RH_Sub37_C9_H14,8,13,118.32613887999683,3Buten1amine_RH_Sub37,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa261_plan_opt_C20_H23,19,22,117.0458230199472,aa261_plan_opt,2,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
