Int1_Name,TS_Name,Int2_Name,Sub_Name,Int1_DeltaG,TS_DeltaG,Int2_DeltaG,Sub_DeltaG,Int1_kcalmol,TS_kcalmol,Int2_kcalmol,fw_td_kcalmol,fw_b_kcalmol,rv_b_kcalmol,Im freq,Sub_Smiles,Sub_Smiles_minusH,Class,Type,Connectivity_Int1,H_bonds_Int2,Core
Cyclopentadiene_H5_deriv1_Int1_Sub10,Cyclopentadiene_H5_deriv1_interpolation_Sub10_v2,Cyclopentadiene_H5_deriv1_Int2_Sub10,Cyclopentadiene_H5_deriv1_substrate_Sub10,-1697.389559,-1697.372805,-1697.383807,-1112.847933,3.396029999986468,13.909165000123949,7.005410000004986,3.6093800000185183,10.513134999994804,6.903754999976286,-339.1,[H][C+]1C2(Cl)[C-]([H])C([H])([H])C12Cl,[H][C+]1C2(Cl)CC([H])([H])C12Cl,EWG,Cl,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub12,Cyclopentadiene_H5_deriv1_interpolation_Sub12_v2,Cyclopentadiene_H5_deriv1_Int2_Sub12,Cyclopentadiene_H5_deriv1_substrate_Sub12,-1394.937186,-1394.919558,-1394.928179,-810.392814,1.6729149999852666,12.734485000022175,7.324807500054646,5.65189250006938,11.061570000036909,5.409677499967529,-442.87,[H]C1=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])=C1Cl,[H][C+]1[C+](Cl)CC([H])([H])[C-]1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],steric,tBu,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub14,Cyclopentadiene_H5_deriv1_interpolation_Sub14_v2,Cyclopentadiene_H5_deriv1_Int2_Sub14,Cyclopentadiene_H5_deriv1_substrate_Sub14,-1277.173017,-1277.155975,-1277.164105,-692.628434,1.5405124999628583,12.234367500072096,7.13279249996873,5.592280000005871,10.693855000109238,5.101575000103367,-430.27,[H]C1=C(C([H])([H])[H])C([H])([H])C([H])=C1Cl,[H][C+]1[C+](Cl)CC([H])([H])[C-]1C([H])([H])[H],steric,Me,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub16,Cyclopentadiene_H5_deriv1_interpolation_Sub16_v2,Cyclopentadiene_H5_deriv1_Int2_Sub16,Cyclopentadiene_H5_deriv1_substrate_Sub16,-1352.337262,-1352.319894,-1352.323625,-767.78819,-1.276334999987796,9.622085000032996,7.280882500022869,8.557217500010665,10.898420000020792,2.341202500010126,-743.28,[H][C+]1C2(Cl)[C-]([H])C([H])([H])C12OC([H])([H])[H],[H][C+]1C2(Cl)CC([H])([H])C12OC([H])([H])[H],EDG,OMe,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub17,Cyclopentadiene_H5_deriv1_interpolation_Sub17_v2,Cyclopentadiene_H5_deriv1_Int2_Sub17,Cyclopentadiene_H5_deriv1_substrate_Sub17,-1574.785218,-1574.766917,-1574.782002,-990.246737,5.369517500068923,16.853395000109685,7.387557500110233,2.01804000004131,11.483877500040762,9.465837499999452,-204.2,[H]C1=C(Cl)C(C(F)(F)F)=C([H])C1([H])[H],[H][C-]1[C+](C(F)(F)F)[C+](Cl)CC1([H])[H],EWG,CF3,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub18,Cyclopentadiene_H5_deriv1_interpolation_Sub18_v2,Cyclopentadiene_H5_deriv1_Int2_Sub18,Cyclopentadiene_H5_deriv1_substrate_Sub18,-1697.386207,-1697.36819,-1697.382292,-1112.846511,4.6071050000676905,15.912772499987682,7.063767499928986,2.456662500003972,11.305667500062668,8.849005000058696,-235.71,[H]C1=C(Cl)C(Cl)=C([H])C1([H])[H],[H][C-]1[C+](Cl)[C+](Cl)CC1([H])[H],EWG,Cl,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub19,Cyclopentadiene_H5_deriv1_interpolation_Sub19_v2,Cyclopentadiene_H5_deriv1_Int2_Sub19,Cyclopentadiene_H5_deriv1_substrate_Sub19,-1472.268342,-1472.24827,-1472.259006,-887.724368,1.9226599999967675,14.517840000013962,7.781000000044287,5.858340000047519,12.595180000017194,6.736839999969675,-368.25,[H]C1=C(Cl)C(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=C([H])C1([H])[H],[H]C1([H])CC2(Cl)[C+](C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C12[H],steric,Cy,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub20,Cyclopentadiene_H5_deriv1_interpolation_Sub20_v2,Cyclopentadiene_H5_deriv1_Int2_Sub20,Cyclopentadiene_H5_deriv1_substrate_Sub20,-1394.933212,-1394.913424,-1394.924747,-810.389481,2.075142500111156,14.49211250000758,7.386930000040479,5.311787499929324,12.416969999896423,7.1051824999671,-299.53,[H][C-]1C([H])([H])C2([H])[C+](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C12Cl,[H]C([H])([H])C([C+]1C2(Cl)CC([H])([H])C12[H])(C([H])([H])[H])C([H])([H])[H],steric,tBu,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub21,Cyclopentadiene_H5_deriv1_interpolation_Sub21_v2,Cyclopentadiene_H5_deriv1_Int2_Sub21,Cyclopentadiene_H5_deriv1_substrate_Sub21,-1355.681656,-1355.661642,-1355.672534,-771.137288,1.675425000050268,14.234210000016674,7.3994800000087935,5.7240549999585255,12.558784999966406,6.83473000000788,-352.15,[H]C1=C(Cl)C(C([H])(C([H])([H])[H])C([H])([H])[H])=C([H])C1([H])[H],[H]C([H])([H])C([H])([C+]1C2(Cl)CC([H])([H])C12[H])C([H])([H])[H],steric,iPr,pi-system,0,Cyclopentadiene_H5_deriv1
Cyclopentadiene_H5_deriv1_Int1_Sub22,Cyclopentadiene_H5_deriv1_interpolation_Sub22_v2,Cyclopentadiene_H5_deriv1_Int2_Sub22,Cyclopentadiene_H5_deriv1_substrate_Sub22,-1277.171915,-1277.153576,-1277.16449,-692.628853,2.494940000121346,14.002662500101906,7.15412750012888,4.659187500007533,11.50772249998056,6.848534999973026,-326.58,[H]C1=C(Cl)C(C([H])([H])[H])=C([H])C1([H])[H],[H]C([H])([H])[C+]1C2(Cl)CC([H])([H])C12[H],steric,Me,pi-system,0,Cyclopentadiene_H5_deriv1
