,mol,Eafw,Earev,dErxn,ETS,ERt,EPr,enan,HRt,HPr,HTS,Hafw,dH,rxn_smiles_mapped,rxn_smiles_random
0,1abp1,8.674063459,17.79365864,-9.119595186,-1453883.429647266,-1453892.1037041731,-1453901.22329247,R,-1453680.632543664,-1453688.5899852929,-1453672.137326822,8.495216842275113,-7.95744162867777,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:24][C:32]([c:12]2[c:8]([H:38])[c:10]([H:44])[c:20]([H:19])[c:3]([H:9])[c:35]2[H:5])([C:26]([C:4]#[C:34][H:13])([H:15])[H:39])[H:36])[O:2][n+:43]2[c:16]([c:33]([H:41])[c:29]([H:40])[c:6]([H:45])[c:31]2[H:37])-[c:7]2[c:28]([H:11])[c:30]([H:21])[c:27]([H:14])[c:17]([H:18])[n+:42]2[O:25]1
1,1abp2,7.572784332,19.45718626,-11.88440193,-1453884.717923243,-1453892.290701855,-1453904.175094806,R,-1453680.82958149,-1453691.4802917468,-1453673.4538407042,7.375740786083043,-10.650710256770251,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:25][C:7]([C:10]([H:15])([C:34]#[C:17][H:11])[H:39])([H:19])[c:30]2[c:20]([H:18])[c:31]([H:5])[c:3]([H:21])[c:8]([H:13])[c:27]2[H:45])[O:2][n+:43]2[c:16]([c:4]([H:38])[c:26]([H:9])[c:12]([H:14])[c:35]2[H:37])-[c:32]2[c:29]([H:44])[c:33]([H:40])[c:6]([H:41])[c:28]([H:36])[n+:42]2[O:24]1
2,1abp3,12.31612845,22.03436767,-9.718239224,-1453878.3392942585,-1453890.6554134008,-1453900.373645284,R,-1453679.3204223453,-1453687.7039425846,-1453667.2113811718,12.109041173243895,-8.383520239498466,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:25][C:26]([c:3]2[c:27]([H:41])[c:8]([H:13])[c:16]([H:40])[c:31]([H:11])[c:32]2[H:36])([C:33]([C:6]#[C:29][H:15])([H:19])[H:21])[H:37])[O:2][n+:42]2[c:7]([H:14])[c:35]([H:45])[c:4]([H:9])[c:12]([H:39])[c:17]2-[c:10]2[c:20]([H:38])[c:28]([H:44])[c:30]([H:18])[c:34]([H:5])[n+:43]2[O:24]1
3,1abp4,9.298435386,22.48240943,-13.18397405,-1453879.61188251,-1453888.910310872,-1453902.094274962,R,-1453677.6826238546,-1453689.5005008518,-1453668.500912167,9.181711687939242,-11.81787699717097,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:25][C:30]([C:4]([H:5])([C:16]#[C:20][H:14])[H:37])([H:15])[c:28]2[c:29]([H:41])[c:8]([H:21])[c:7]([H:11])[c:27]([H:13])[c:33]2[H:40])[O:2][n+:42]2[c:6]([c:31]([H:18])[c:35]([H:9])[c:32]([H:38])[c:10]2[H:36])-[c:26]2[c:17]([H:45])[c:3]([H:39])[c:12]([H:44])[c:34]([H:19])[n+:43]2[O:24]1
4,1abp5,10.17820367,22.9373538,-12.75915014,-1453881.4598965154,-1453891.6380924953,-1453904.397232992,R,-1453680.28992375,-1453691.6164612,-1453670.3144131768,9.975510572781786,-11.326537450077012,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:24][C:29]([c:26]2[c:8]([H:44])[c:27]([H:18])[c:20]([H:39])[c:6]([H:45])[c:12]2[H:15])([C:32]([C:3]#[C:16][H:36])([H:5])[H:40])[H:38])[O:2][n+:42]2[c:10]([c:30]([H:19])[c:35]([H:13])[c:33]([H:14])[c:34]2[H:21])-[c:7]2[c:31]([H:11])[c:17]([H:9])[c:4]([H:37])[c:28]([H:41])[n+:43]2[O:25]1
5,1aMebp1,8.611312512000001,18.05658511,-9.445272602,-1503212.0677594978,-1503220.6790655046,-1503230.124330973,R,-1502974.359192681,-1502982.6228587022,-1502965.9832025492,8.375990132102743,-8.263666021171957,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:24][C:27]([C:4]([C:32]#[C:31][H:36])([H:43])[H:46])([c:26]2[c:12]([H:42])[c:20]([H:47])[c:3]([H:14])[c:16]([H:19])[c:48]2[H:51])[H:45])[O:2][n+:41]2[c:29]([H:15])[c:6]([H:21])[c:35]([H:9])[c:44]([C:10]([H:13])([H:39])[H:50])[c:33]2-[c:8]2[c:30]([C:28]([H:11])([H:37])[H:49])[c:34]([H:5])[c:7]([H:18])[c:17]([H:38])[n+:40]2[O:25]1
6,1aMebp2,7.350018469,19.65987182,-12.30985335,-1503213.647199651,-1503220.997212568,-1503233.3070566212,R,-1502974.779623711,-1502985.59850638,-1502967.5017743288,7.277849382255226,-10.818882668856531,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:25][C:30]([c:3]2[c:26]([H:14])[c:10]([H:36])[c:4]([H:47])[c:44]([H:19])[c:32]2[H:42])([C:16]([H:9])([H:18])[C:48]#[C:6][H:5])[H:39])[O:2][n+:41]2[c:12]([H:49])[c:27]([H:43])[c:17]([H:13])[c:29]([C:8]([H:15])([H:45])[H:50])[c:34]2-[c:20]2[c:33]([C:31]([H:21])([H:38])[H:46])[c:35]([H:37])[c:28]([H:51])[c:7]([H:11])[n+:40]2[O:24]1
7,1aMebp3,14.438993,22.83695229,-8.397959291,-1503207.378384741,-1503221.817366831,-1503230.2153197783,R,-1502975.488081372,-1502982.7307902502,-1502961.355951183,14.13213018910028,-7.242708878125995,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:24][C:10]([C:17]([C:3]#[C:32][H:5])([H:39])[H:50])([c:28]2[c:33]([H:45])[c:26]([H:9])[c:7]([H:19])[c:35]([H:18])[c:48]2[H:11])[H:47])[O:2][n+:40]2[c:6]([c:44]([C:29]([H:21])([H:36])[H:51])[c:12]([H:49])[c:27]([H:42])[c:34]2[H:14])-[c:31]2[c:4]([C:8]([H:37])([H:43])[H:46])[c:20]([H:38])[c:16]([H:15])[c:30]([H:13])[n+:41]2[O:25]1
8,1aMebp4,9.400091921,23.05407057,-13.65397864,-1503208.4206771904,-1503217.8207620096,-1503231.474730341,R,-1502971.6533738729,-1502983.892309409,-1502962.460367023,9.193006849847734,-12.238935536239294,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:30]([c:12]2[c:7]([H:51])[c:17]([H:21])[c:16]([H:36])[c:44]([H:42])[c:33]2[H:46])([H:19])[C:20]([C:6]#[C:4][H:50])([H:13])[H:37])([Cl:22])([Cl:23])[O:24][n+:41]2[c:29]([c:10]([C:3]([H:14])([H:39])[H:49])[c:32]([H:43])[c:27]([H:5])[c:35]2[H:18])-[c:28]2[c:31]([C:34]([H:11])([H:15])[H:47])[c:26]([H:9])[c:48]([H:45])[c:8]([H:38])[n+:40]2[O:25]1
9,1aMebp5,10.25036726,23.29628922,-13.04592196,-1503210.3075967531,-1503220.5579562678,-1503233.6038683783,R,-1502974.2907942,-1502985.7566386482,-1502964.2889282492,10.00186595111154,-11.465844447957352,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([Cl:22])([Cl:23])([O:24][C:32]([C:12]([C:26]#[C:44][H:11])([H:45])[H:51])([H:13])[c:48]2[c:4]([H:38])[c:30]([H:15])[c:16]([H:43])[c:20]([H:21])[c:8]2[H:47])[O:2][n+:40]2[c:28]([H:37])[c:27]([H:46])[c:33]([H:50])[c:7]([C:10]([H:14])([H:18])[H:39])[c:29]2-[c:3]2[c:31]([C:34]([H:5])([H:42])[H:49])[c:6]([H:9])[c:35]([H:36])[c:17]([H:19])[n+:41]2[O:25]1
