mol,enan,Eafw,Earev,dErxn,ETS,ERt,EPr,HRt,HPr,HTS,Hafw,dH,rxn_smiles_mapped,rxn_smiles
1abp1,R,8.674063459,17.79365864,-9.119595186,-1453883.42964727,-1453892.10370417,-1453901.22329247,-1453680.63254366,-1453688.58998529,-1453672.13732682,8.49521684227511,-7.95744162867777,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1abp2,R,7.572784332,19.45718626,-11.88440193,-1453884.71792324,-1453892.29070186,-1453904.17509481,-1453680.82958149,-1453691.48029175,-1453673.4538407,7.37574078608304,-10.6507102567703,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1abp3,R,12.31612845,22.03436767,-9.718239224,-1453878.33929426,-1453890.6554134,-1453900.37364528,-1453679.32042235,-1453687.70394258,-1453667.21138117,12.1090411732439,-8.38352023949847,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1abp4,R,9.298435386,22.48240943,-13.18397405,-1453879.61188251,-1453888.91031087,-1453902.09427496,-1453677.68262385,-1453689.50050085,-1453668.50091217,9.18171168793924,-11.817876997171,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1abp5,R,10.17820367,22.9373538,-12.75915014,-1453881.45989652,-1453891.6380925,-1453904.39723299,-1453680.28992375,-1453691.6164612,-1453670.31441318,9.97551057278179,-11.326537450077,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[H:44])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([H:41])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1aMebp1,R,8.611312512,18.05658511,-9.445272602,-1503212.0677595,-1503220.6790655,-1503230.12433097,-1502974.35919268,-1502982.6228587,-1502965.98320255,8.37599013210274,-8.26366602117196,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1aMebp2,R,7.350018469,19.65987182,-12.30985335,-1503213.64719965,-1503220.99721257,-1503233.30705662,-1502974.77962371,-1502985.59850638,-1502967.50177433,7.27784938225523,-10.8188826688565,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1aMebp3,R,14.438993,22.83695229,-8.397959291,-1503207.37838474,-1503221.81736683,-1503230.21531978,-1502975.48808137,-1502982.73079025,-1502961.35595118,14.1321301891003,-7.242708878126,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1aMebp4,R,9.400091921,23.05407057,-13.65397864,-1503208.42067719,-1503217.82076201,-1503231.47473034,-1502971.65337387,-1502983.89230941,-1502962.46036702,9.19300684984773,-12.2389355362393,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
1aMebp5,R,10.25036726,23.29628922,-13.04592196,-1503210.30759675,-1503220.55795627,-1503233.60386838,-1502974.2907942,-1502985.75663865,-1502964.28892825,10.0018659511115,-11.4658444479574,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:40]2[c:26]([c:31]([C:44]([H:45])([H:46])[H:47])[c:32]([H:36])[c:30]([H:43])[c:29]2[H:42])-[c:27]2[c:33]([C:48]([H:49])([H:50])[H:51])[c:34]([H:37])[c:35]([H:38])[c:28]([H:39])[n+:41]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([C]([H])([H])[H])[c]([H])[c]([H])[c]2[H])-[c]2[c]([C]([H])([H])[H])[c]([H])[c]([H])[c]([H])[n+]2[O]1
